draftPickID,Year,Team ID,Lg,Rd,Pk,Player,College,G
,1999,Denver Nuggets,NBA,2,41,Francisco Elson, elsonfr01,University of California
,1998,Denver Nuggets,NBA,1,3,Raef LaFrentz, lafrera01,University of Kansas
,1998,Denver Nuggets,NBA,1,23,Tyronn Lue, luety01,University of Nebraska
,1998,Denver Nuggets,NBA,2,54,Tremaine Fowlkes, fowlktr01,California State University Fresno
,1998,Denver Nuggets,NBA,2,55,Ryan Bowen, bowenry01,University of Iowa
,1997,Denver Nuggets,NBA,1,5,Tony Battie, battito01,Texas Tech University
,1997,Denver Nuggets,NBA,2,32,James Cotton, cottoja02,California State University Long Beach
,1997,Denver Nuggets,NBA,2,41,Jason Lawson, lawsoja01,Villanova University
,1996,Denver Nuggets,NBA,1,23,Efthimi Rentzias, rentzef01,
,1996,Denver Nuggets,NBA,2,37,Jeff McInnis, mcinnje01,University of North Carolina
,1995,Denver Nuggets,NBA,1,15,Brent Barry, barrybr01,Oregon State University
,1995,Denver Nuggets,NBA,2,44,Anthony Pelle,California State University Fresno,
,1994,Denver Nuggets,NBA,1,13,Jalen Rose, roseja01,University of Michigan
,1993,Denver Nuggets,NBA,1,9,Rodney Rogers, rogerro01,Wake Forest University
,1993,Denver Nuggets,NBA,2,43,Josh Grant, grantjo01,University of Utah
,1992,Denver Nuggets,NBA,1,5,LaPhonso Ellis, ellisla01,University of Notre Dame
,1992,Denver Nuggets,NBA,1,13,Bryant Stith, stithbr01,University of Virginia
,1992,Denver Nuggets,NBA,2,46,Robert Werdann, werdaro01,St. John's University
,1991,Denver Nuggets,NBA,1,4,Dikembe Mutombo, mutomdi01,Georgetown University
,1991,Denver Nuggets,NBA,1,8,Mark Macon, maconma01,Temple University
,1990,Denver Nuggets,NBA,1,3,Mahmoud Abdul-Rauf, abdulma02,Louisiana State University
,1990,Denver Nuggets,NBA,2,42,Marcus Liberty, liberma01,University of Illinois at Urbana-Champaign
,1989,Denver Nuggets,NBA,1,15,Todd Lichti, lichtto01,Stanford University
,1989,Denver Nuggets,NBA,2,42,Michael Cutright,McNeese State University,
,1989,Denver Nuggets,NBA,2,47,Reggie Turner,University of Alabama at Birmingham,
,1988,Denver Nuggets,NBA,1,23,Jerome Lane, laneje01,University of Pittsburgh
,1988,Denver Nuggets,NBA,2,43,Todd Mitchell, mitchto01,Purdue University
,1988,Denver Nuggets,NBA,2,47,Vernon Maxwell, maxweve01,University of Florida
,1988,Denver Nuggets,NBA,3,66,Dwight Boyd,University of Memphis,
,1987,Denver Nuggets,NBA,2,31,Andre Moore, moorean01,Loyola University of Chicago
,1987,Denver Nuggets,NBA,3,54,Tom Schafer,Iowa State University,
,1987,Denver Nuggets,NBA,4,77,David Boone,Marquette University,
,1987,Denver Nuggets,NBA,5,100,Ron Grandison, grandro01,University of New Orleans
,1987,Denver Nuggets,NBA,6,123,Kelvin Scarborough,University of New Mexico,
,1987,Denver Nuggets,NBA,7,146,Rowan Gomes,Hampton University,
,1987,Denver Nuggets,NBA,7,156,Curtis Hunter,University of North Carolina,
,1986,Denver Nuggets,NBA,1,16,Maurice Martin, martima01,Saint Joseph's University
,1986,Denver Nuggets,NBA,1,18,Mark Alarie, alarima01,Duke University
,1986,Denver Nuggets,NBA,2,41,Otis Smith, smithot01,Jacksonville University
,1986,Denver Nuggets,NBA,3,64,Don Redden,Louisiana State University,
,1986,Denver Nuggets,NBA,4,87,Anthony Watson,San Diego State University,
,1986,Denver Nuggets,NBA,5,110,Jon Collins,Eastern Illinois University,
,1986,Denver Nuggets,NBA,6,133,Anthony Frederick, fredean01,Pepperdine University
,1986,Denver Nuggets,NBA,7,156,Mike Marshall,McNeese State University,
,1985,Denver Nuggets,NBA,1,15,Blair Rasmussen, rasmubl01,University of Oregon
,1985,Denver Nuggets,NBA,2,43,Barry Stevens, steveba01,Iowa State University
,1985,Denver Nuggets,NBA,4,89,Pete Williams, willipe01,University of Arizona
,1985,Denver Nuggets,NBA,5,112,Kenny Brown,Texas A&M University,
,1985,Denver Nuggets,NBA,6,135,Joe Carrabino,Harvard University,
,1985,Denver Nuggets,NBA,7,158,Eddie Smith,University of Arizona,
,1984,Denver Nuggets,NBA,2,42,Willie White, whitewi01,University of Tennessee at Chattanooga
,1984,Denver Nuggets,NBA,4,79,Karl Tilleman,University of Calgary,
,1984,Denver Nuggets,NBA,5,103,Prince Bridges,University of Missouri,
,1984,Denver Nuggets,NBA,6,125,Willie Burton,University of Tennessee,
,1984,Denver Nuggets,NBA,7,149,Mark Simpson,Cawtaba College,
,1984,Denver Nuggets,NBA,8,171,Bill Wendlandt,University of Texas at Austin,
,1984,Denver Nuggets,NBA,9,194,Cecil Exum,University of North Carolina,
,1984,Denver Nuggets,NBA,10,215,Dexter Bailey,Xavier University,
,1983,Denver Nuggets,NBA,1,15,Howard Carter, carteho01,Louisiana State University
,1983,Denver Nuggets,NBA,2,37,David Russell,St. John's University,
,1983,Denver Nuggets,NBA,3,61,David Little,University of Oklahoma,
,1983,Denver Nuggets,NBA,4,83,York Gross,University of California Santa Barbara,
,1983,Denver Nuggets,NBA,5,107,James Braddock,University of North Carolina,
,1983,Denver Nuggets,NBA,6,129,Glenn Green,Murray State University,
,1983,Denver Nuggets,NBA,7,153,Maurice McDaniel,Cawtaba College,
,1983,Denver Nuggets,NBA,8,175,Cliff Tribus,Davidson College,
,1983,Denver Nuggets,NBA,9,198,Bobby Van Noy,Cawtaba College,
,1983,Denver Nuggets,NBA,10,218,Cleveland McCrae,Cawtaba College,
,1982,Denver Nuggets,NBA,1,19,Rob Williams, williro02,University of Houston
,1982,Denver Nuggets,NBA,3,62,Roylin Bond,Pepperdine University,
,1982,Denver Nuggets,NBA,4,84,Alford Turner,University of Louisiana at Lafayette,
,1982,Denver Nuggets,NBA,5,109,Bill Duffy,Santa Clara University,
,1982,Denver Nuggets,NBA,6,131,Chris Brust,University of North Carolina,
,1982,Denver Nuggets,NBA,7,153,Jeb Barlow,University of North Carolina,
,1982,Denver Nuggets,NBA,8,178,Donny Speer,University of Alabama at Birmingham,
,1982,Denver Nuggets,NBA,9,200,Dean Sears,University of California Los Angeles,
,1982,Denver Nuggets,NBA,10,220,Mike Phillips,Niagara University,
,1981,Denver Nuggets,NBA,2,34,Ken Green, greenke01,University of Texas-Pan American
,1981,Denver Nuggets,NBA,5,101,Willie Sims,Louisiana State University,
,1981,Denver Nuggets,NBA,6,124,Alonzo Weatherley,University of Denver,
,1981,Denver Nuggets,NBA,7,147,Greg Manning,University of Maryland,
,1981,Denver Nuggets,NBA,8,169,Curtis Redding,St. John's University,
,1981,Denver Nuggets,NBA,9,191,Andrew Burton,Austin Peay State University,
,1981,Denver Nuggets,NBA,10,211,Derrick Rowland, rowlade01,State University of New York at Potsdam
,1980,Denver Nuggets,NBA,1,5,James Ray, rayja01,Jacksonville University
,1980,Denver Nuggets,NBA,1,23,Carl Nicks, nicksca01,Indiana State University
,1980,Denver Nuggets,NBA,2,41,Jawann Oldham, oldhaja01,Seattle University
,1980,Denver Nuggets,NBA,3,47,Kurt Nimphius, nimphku01,Arizona State University
,1980,Denver Nuggets,NBA,3,48,Eddie Lee,University of Cincinnati,
,1980,Denver Nuggets,NBA,3,51,Ronnie Valentine, valenro01,Old Dominion University
,1980,Denver Nuggets,NBA,4,73,Sammie Ellis,University of Pittsburgh,
,1980,Denver Nuggets,NBA,5,97,James Patrick,Texas State University,
,1980,Denver Nuggets,NBA,6,119,Ernie Hill,Oklahoma City University,
,1980,Denver Nuggets,NBA,7,143,Tommy Springer,Vanderbilt University,
,1980,Denver Nuggets,NBA,9,184,Jim Graziano,University of South Carolina,
,1980,Denver Nuggets,NBA,10,202,Earl Sango,Regis University,
,1979,Denver Nuggets,NBA,2,30,Gary Garland, garlaga01,DePaul University
,1979,Denver Nuggets,NBA,5,102,Larry Williams,University of Louisville,
,1979,Denver Nuggets,NBA,6,122,Odell Ball,Marquette University,
,1979,Denver Nuggets,NBA,7,144,John Johnson,Creighton University,
,1979,Denver Nuggets,NBA,8,162,Matt Teahan,University of Denver,
,1979,Denver Nuggets,NBA,9,179,Emmett Lewis,University of Colorado,
,1978,Denver Nuggets,NBA,1,17,Rod Griffin,Wake Forest University,
,1978,Denver Nuggets,NBA,1,21,Mike Evans, evansmi01,Kansas State University
,1978,Denver Nuggets,NBA,3,46,Hollis Copeland, copelho01,Rutgers University
